video_segment,指标,配对视频数,标准推荐均值,随机曝光均值,平均值配对差,p_value,rank_biserial,q_fdr,FDR显著
高曝光高表现视频,有效观看率,662,0.5270117824773414,0.23923323262839882,0.2877785498489426,2.159220904812688e-108,0.992217012298761,2.968928744117446e-107,True
高曝光高表现视频,长播放率,662,0.40022492447129904,0.14151163141993958,0.25871329305135954,4.164622404968352e-108,0.9908864312631862,4.5810846454651874e-107,True
高曝光高表现视频,完播率,662,0.18025347432024172,0.059471450151057405,0.12078202416918428,1.3394672336302361e-99,0.9510858164372816,6.69733616815118e-99,True
高曝光高表现视频,每次曝光平均播放时长（秒）,662,26.734077642447133,10.072005380664653,16.662072261782477,2.5413383684977973e-107,0.9872136630622502,2.329560171122981e-106,True
高曝光高表现视频,点赞率,662,0.023041389728096676,0.00639501510574018,0.016646374622356495,9.957314585960252e-49,0.6683342366003807,2.8823805380411256e-48,True
高曝光高表现视频,评论率,662,0.0029116314199395775,0.0006211480362537764,0.002290483383685801,8.455383835660822e-17,0.5778432628656844,1.860184443845381e-16,True
高曝光高表现视频,转发率,662,0.0006010574018126889,0.00047326283987915414,0.00012779456193353473,0.05813388415975074,0.1834016236207664,0.06802901337843172,False
高曝光高表现视频,主页进入率,662,0.026031117824773412,0.007896374622356496,0.01813474320241692,1.250942590994985e-51,0.6857356256656385,4.0471672061602456e-51,True
高曝光高表现视频,关注率,662,0.0018657099697885198,0.0003317220543806647,0.0015339879154078547,9.504906414552302e-13,0.6133676346905457,1.7425661760012556e-12,True
高曝光高表现视频,点踩率,662,0.0009719033232628399,0.0009255287009063445,4.6374622356495474e-05,0.17975470252290826,-0.10806727322856355,0.20596892997416572,False
高曝光一般表现视频,有效观看率,744,0.3839631720430107,0.23936599462365593,0.14459717741935485,1.447908958222813e-82,0.8145882947246879,5.308999513483649e-82,True
高曝光一般表现视频,长播放率,744,0.26752298387096773,0.1295611559139785,0.13796182795698925,7.311832311520158e-100,0.8977173497297336,4.021507771336087e-99,True
高曝光一般表现视频,完播率,744,0.11340954301075269,0.05272244623655913,0.06068709677419355,1.848020704010913e-74,0.7761716229052913,6.352571170037514e-74,True
高曝光一般表现视频,每次曝光平均播放时长（秒）,744,18.00560588817204,9.328029074327958,8.677576813844086,1.4155026911229993e-84,0.8246734502417551,5.988665231674227e-84,True
高曝光一般表现视频,点赞率,744,0.013143951612903226,0.005812096774193549,0.007331854838709678,8.778801177729891e-10,0.2754285096057248,1.4201001905151293e-09,True
高曝光一般表现视频,评论率,744,0.0018666666666666664,0.000483736559139785,0.001382930107526882,2.2001641933132398e-10,0.48953738569123184,3.666940322188733e-10,True
高曝光一般表现视频,转发率,744,0.0006883064516129032,0.0003603494623655914,0.0003279569892473118,0.029356733134487945,0.22608374156576394,0.03510044179123559,True
高曝光一般表现视频,主页进入率,744,0.012954301075268817,0.006233870967741935,0.006720430107526882,1.4818308682417266e-10,0.28553447570078083,2.5468968047904676e-10,True
高曝光一般表现视频,关注率,744,0.0005028225806451613,0.00021236559139784945,0.00029045698924731186,0.004135906784551898,0.33127769919849126,0.005290113329078009,True
高曝光一般表现视频,点踩率,744,0.0006470430107526882,0.001024462365591398,-0.00037741935483870967,0.0005948590907080204,-0.27383046914378645,0.000817931249723528,True
一般曝光高表现视频,有效观看率,642,0.5127434579439252,0.1684696261682243,0.3442738317757009,6.876027867681827e-105,0.9908237767861902,4.727269159031256e-104,True
一般曝光高表现视频,长播放率,642,0.385316355140187,0.0877119937694704,0.29760436137071655,2.154530747337434e-105,0.9932462221963828,1.6928455871936984e-104,True
一般曝光高表现视频,完播率,642,0.1598084112149533,0.033717445482866044,0.12609096573208722,2.189742081363117e-84,0.8940200260954978,8.602558176783676e-84,True
一般曝光高表现视频,每次曝光平均播放时长（秒）,642,27.566920941433025,7.035304275233645,20.531616666199376,7.580376839392398e-104,0.9857947801146301,4.632452512962021e-103,True
一般曝光高表现视频,点赞率,642,0.03050591900311526,0.0050339563862928345,0.02547196261682243,8.114550758239607e-15,0.38308156135845206,1.6529640433451052e-14,True
一般曝光高表现视频,评论率,642,0.0038646417445482866,0.0003688473520249221,0.0034957943925233645,0.004423421523007242,0.3003068340306834,0.0055292769037590525,True
一般曝光高表现视频,转发率,642,0.0011185358255451712,0.00027616822429906546,0.0008423676012461059,0.3059493314670444,-0.14780382646187012,0.3434125149119886,False
一般曝光高表现视频,主页进入率,642,0.027505451713395638,0.005985358255451713,0.021520093457943923,2.284515354862209e-14,0.3724836087070548,4.4874408756221966e-14,True
一般曝光高表现视频,关注率,642,0.0038598130841121492,0.0002026479750778816,0.003657165109034268,1.1984856838959272e-06,0.5537541928270405,1.7815327733588106e-06,True
一般曝光高表现视频,点踩率,642,0.0007397196261682243,0.0011621495327102803,-0.0004224299065420561,2.3975517617103025e-16,-0.7262856525496975,5.071744111310255e-16,True
一般曝光一般表现视频,有效观看率,2059,0.329939485186984,0.17844531325886354,0.15149417192812045,6.042438630117569e-172,0.7112450354046437,1.6616706232823314e-170,True
一般曝光一般表现视频,长播放率,2059,0.22357032540067995,0.08710077707625062,0.13646954832442934,3.366674552044921e-208,0.7834816850084569,1.8516710036247069e-206,True
一般曝光一般表现视频,完播率,2059,0.08738086449732879,0.03255050995628946,0.05483035454103934,8.10809952206109e-85,0.5097271582685818,3.7162122809446666e-84,True
一般曝光一般表现视频,每次曝光平均播放时长（秒）,2059,16.56920467139388,7.09790130373968,9.471303367654201,3.937148930304008e-159,0.6838968865082022,7.218106372224015e-158,True
一般曝光一般表现视频,点赞率,2059,0.014867071393880524,0.0049500242836328315,0.009917047110247693,0.0004830196160682639,-0.10212663447209493,0.0006811815098398593,True
一般曝光一般表现视频,评论率,2059,0.0022992229237493926,0.00039203496843127737,0.0019071879553181157,0.6596980326008375,-0.0312275664034458,0.7256678358609212,False
一般曝光一般表现视频,转发率,2059,0.0008635745507527926,0.0003510441962117533,0.0005125303545410393,3.2615318644169746e-07,-0.41575651570177313,4.982895903970378e-07,True
一般曝光一般表现视频,主页进入率,2059,0.013337882467217095,0.005585332685769791,0.007752549781447304,1.9600170579054376e-08,-0.15961171074195832,3.0800268052799736e-08,True
一般曝光一般表现视频,关注率,2059,0.0011419135502671199,0.00030441962117532786,0.0008374939290917922,0.0093388152720125,-0.2137183771532802,0.011414107554681942,True
一般曝光一般表现视频,点踩率,2059,0.0007111704711024769,0.0010782904322486646,-0.0003671199611461875,5.174462108534744e-49,-0.7854423582788329,1.5810856442745052e-48,True
低曝光次数视频,有效观看率,518,0.30140598455598455,0.15396583011583012,0.14744015444015443,3.9665890329240084e-33,0.608059752568423,1.0388685562420022e-32,True
低曝光次数视频,长播放率,518,0.2060096525096525,0.07128552123552123,0.1347241312741313,7.419485341492622e-40,0.6700193423597679,2.040358468910471e-39,True
低曝光次数视频,完播率,518,0.08731718146718147,0.028654247104247105,0.05866293436293436,1.4321833491517545e-10,0.33755166290583977,2.540970458172468e-10,True
低曝光次数视频,每次曝光平均播放时长（秒）,518,15.795871584362935,6.0128665063706555,9.783005077992277,1.10416548124887e-28,0.5634610663512397,2.7604137031221745e-28,True
低曝光次数视频,点赞率,518,0.01508030888030888,0.004487065637065637,0.010593243243243244,2.7788023013493434e-13,-0.4369855613847154,5.270142295662548e-13,True
低曝光次数视频,评论率,518,0.0012096525096525097,0.0002608108108108108,0.0009488416988416988,0.0029404908349733075,-0.5620841002406909,0.003944560876183705,True
低曝光次数视频,转发率,518,0.0010903474903474902,0.00032239382239382234,0.0007679536679536679,0.0003114015891927945,-0.6583912611717975,0.0004507128264632552,True
低曝光次数视频,主页进入率,518,0.011393050193050194,0.004614092664092665,0.006778957528957529,4.603438921363873e-22,-0.5819902670096034,1.1008223507609263e-21,True
低曝光次数视频,关注率,518,0.0011177606177606176,0.00026216216216216215,0.0008555984555984557,0.004109309358144816,-0.5523285661899523,0.005290113329078009,True
低曝光次数视频,点踩率,518,0.00164015444015444,0.0014424710424710424,0.00019768339768339778,9.86486847482412e-20,-0.8766893912211458,2.2606990254805277e-19,True
无历史曝光视频,有效观看率,1,0.6,0.2532,0.3468,1.0,1.0,1.0,False
无历史曝光视频,长播放率,1,0.6,0.1772,0.42279999999999995,1.0,1.0,1.0,False
无历史曝光视频,完播率,1,0.0,0.0886,-0.0886,1.0,-1.0,1.0,False
无历史曝光视频,每次曝光平均播放时长（秒）,1,22.142,8.4648608,13.6771392,1.0,1.0,1.0,False
无历史曝光视频,点赞率,1,0.1,0.0,0.1,1.0,1.0,1.0,False
